id,ifi,entitytype,entityid,vectortype,value,status,createdat,modifiedat,_load_ts_ms,attributes,cdc_source_ts_ms,cdc_op
159737c9-d7d7-4b1a-950f-0516d435705a,140793,CARD,be708c98-c1e1-4efd-8bde-a3f8d8345a79,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/ecef04fb-8a6c-422b-9f81-4e7fea3a1649,ACTIVE,2020-03-30 09:55:14.799683+00:00,2020-03-30 09:55:14.799683+00:00,1681141243000,"""vector://ACCOUNTHOLDER/ecef04fb-8a6c-422b-9f81-4e7fea3a1649""",,
301d944e-1374-49c4-b2ad-c3955162bb03,140793,CARD,afa018e3-f129-4ba6-99ec-5bb77fd2621e,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/d11282a9-4028-4a11-b98c-9ad3a9e65870,ACTIVE,2020-03-31 08:39:48.243004+00:00,2020-03-31 08:39:48.243004+00:00,1681141243000,"""vector://ACCOUNTHOLDER/d11282a9-4028-4a11-b98c-9ad3a9e65870""",,
d20fc249-2d87-48fc-8fbc-ff3a645de3e9,140793,CARD,59c868ae-0898-476a-a224-f06f031a4ff3,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/b58f3f6f-ec73-4d4f-b6e1-55b7965cef76,ACTIVE,2020-04-04 02:20:44.758021+00:00,2020-04-04 02:20:44.758021+00:00,1681141243000,"""vector://ACCOUNTHOLDER/b58f3f6f-ec73-4d4f-b6e1-55b7965cef76""",,
512550f5-6bae-43b1-8a09-a64e17e1ec32,140793,CARD,2237e732-4ac4-4e65-91cf-75ad96e010cb,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/ca3ed457-a5ba-468f-a5b1-6a42cb1c05c3,ACTIVE,2020-04-06 05:37:36.722989+00:00,2020-04-06 05:37:36.722989+00:00,1681141243000,"""vector://ACCOUNTHOLDER/ca3ed457-a5ba-468f-a5b1-6a42cb1c05c3""",,
4b1ad1d7-e5b6-4e3b-b699-927b294b4b2b,140793,CARD,b7634154-0090-4da7-9e91-cc6082a84ffd,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/3c8f3ca7-4813-47ba-9e9d-35ab9bc3fd48,ACTIVE,2020-04-16 06:47:04.920011+00:00,2020-04-16 06:47:04.920011+00:00,1681141243000,"""vector://ACCOUNTHOLDER/3c8f3ca7-4813-47ba-9e9d-35ab9bc3fd48""",,
75e3b364-941e-407c-abf2-2d8e4cf9549d,140793,CARD,fd5e282b-f387-490d-87d8-55f948882518,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/4c68e5c2-847d-4a88-9a69-6639a2da4092,ACTIVE,2020-04-16 11:13:22.821358+00:00,2020-04-16 11:13:22.821358+00:00,1681141243000,"""vector://ACCOUNTHOLDER/4c68e5c2-847d-4a88-9a69-6639a2da4092""",,
5b6f9474-db65-4d0a-95af-b08403dda91b,140793,CARD,ab14f4fe-d05f-437b-87ea-d10c00c48779,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/bce9d3fc-b101-435b-9a28-5f140776a7b1,ACTIVE,2020-04-16 16:09:36.608325+00:00,2020-04-16 16:09:36.608325+00:00,1681141243000,"""vector://ACCOUNTHOLDER/bce9d3fc-b101-435b-9a28-5f140776a7b1""",,
4ca0b8e6-fe80-4223-b77a-735cb96fa4a4,140793,CARD,37b5e062-9720-4baf-b418-241277731b84,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/037e8470-6e90-4b1a-9021-585eef60d99f,ACTIVE,2020-04-16 16:22:48.840063+00:00,2020-04-16 16:22:48.840063+00:00,1681141243000,"""vector://ACCOUNTHOLDER/037e8470-6e90-4b1a-9021-585eef60d99f""",,
58900448-2eec-478c-9c70-01e343ddf96c,140793,CARD,898977b1-0e58-4ef4-9bd6-a4b3ccdabf4e,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/f88d35d3-273a-4b46-a84e-88b95b43f3f0,ACTIVE,2020-04-16 16:50:54.243708+00:00,2020-04-16 16:50:54.243708+00:00,1681141243000,"""vector://ACCOUNTHOLDER/f88d35d3-273a-4b46-a84e-88b95b43f3f0""",,
b6094989-37bd-491b-b447-d63dd1712c47,140793,CARD,9f37858f-dd70-490e-a802-afae5aa4367b,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/314f19b6-b5b6-441b-9e4f-d4be707a75ae,ACTIVE,2020-04-16 18:41:49.100327+00:00,2020-04-16 18:41:49.100327+00:00,1681141243000,"""vector://ACCOUNTHOLDER/314f19b6-b5b6-441b-9e4f-d4be707a75ae""",,
9387319e-2277-4426-a5e7-8e1020498581,140793,CARD,57819685-aa91-4e3e-8f1b-d92a50abb6c0,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/922aaee5-092e-41f1-817b-48f2456ecd21,ACTIVE,2020-04-17 06:00:33.618016+00:00,2020-04-17 06:00:33.618016+00:00,1681141243000,"""vector://ACCOUNTHOLDER/922aaee5-092e-41f1-817b-48f2456ecd21""",,
f8085caf-114e-4cbc-ad16-a9c14cba067b,140793,CARD,f1b40271-5718-4740-aff5-cfc48d2c19f1,ACCOUNTHOLDER,vector://ACCOUNTHOLDER/62175a17-024f-42d3-8794-8a5fe7cbd66f,ACTIVE,2020-04-17 11:31:12.331284+00:00,2020-04-17 11:31:12.331284+00:00,1681141243000,"""vector://ACCOUNTHOLDER/62175a17-024f-42d3-8794-8a5fe7cbd66f""",,
