id,tenant_id,type,code,version,name,description,state,flags,body,effective_from,expires_at,attributes,created_at,updated_at,_load_ts_ms,cdc_source_ts_ms,cdc_op
ef0277f5-f8bd-4653-8a53-63a137e90501,172097,in.zeta.policy.charge.EventBasedChargePolicy,UCP1KdRKj,1,Joining fee policy,Charge policy for  account joining fee,ENABLED,{},"{""voucherCode"":""TC000B3UAK"",""modelParameters"":{""fixedAmount"":{""waiver"":{""amount"":1000,""currency"":""INR""},""baseFee"":{""amount"":10000,""currency"":""INR""},""discount"":{""amount"":8000,""currency"":""INR""}}},""allowedEventNames"":[""ACCOUNT_LEDGER_CREATED"",""ACCOUNT_ANNIVERSARY_CREATED"",""ACCOUNT_MIGVwOKP_CREATED""],""chargeSpecificationURI"":""charge-specification://code/UCS1rOyQW/version/1""}",2022-01-26 07:24:59.150000+00:00,2022-01-26 12:24:59.150000+00:00,{},2022-01-26 07:25:02.044128+00:00,2022-01-26 07:25:02.044128+00:00,1681731492000,,
0e46e44c-8e67-4d86-9d54-f103af08ecc4,172097,in.zeta.policy.charge.EventBasedChargePolicy,UCP1KdRKj,2,Joining fee policy,Charge policy for  account joining fee,ENABLED,{},"{""voucherCode"":""TC000B3UAK"",""modelParameters"":{""fixedAmount"":{""waiver"":{""amount"":100,""currency"":""INR""},""baseFee"":{""amount"":3000,""currency"":""INR""},""discount"":{""amount"":1000,""currency"":""INR""}}},""allowedEventNames"":[""ACCOUNT_LEDGER_CREATED"",""ACCOUNT_ANNIVERSARY_CREATED"",""ACCOUNT_MIGVwOKP_CREATED"",""ACCOUNT_MIGx3U_CREATED""],""chargeSpecificationURI"":""charge-specification://code/UCS1rOyQW/version/1""}",2022-01-26 07:25:02.167000+00:00,2022-01-26 10:45:02.167000+00:00,{},2022-01-26 07:25:02.516328+00:00,2022-01-26 07:25:02.516328+00:00,1681731492000,,
10ce4cb4-0de3-4803-80a9-dc54a69e1079,140793,in.zeta.emerald.policy.AmortizationPolicy,AMORPOLICY001,3,Smart EMI Amortization Policy,Smart EMI Amortization Policy,ENABLED,,"{""epiMethod"":""REDUCING_BALANCE"",""paymentType"":""ARREARS"",""reAmortizationType"":""INSTALLMENT"",""installmentFrequency"":""MONTHLY"",""reAmortizationMethod"":""WITHOUT_INTEREST_CAPITALISATION"",""repaymentScheduleType"":""EPI"",""brokenPeriodApplicable"":false,""autoReAmortizationAllowed"":true,""residualAmountValidationAllowed"":false}",2022-01-27 00:00:00+00:00,2024-12-31 00:00:00+00:00,,2022-01-27 07:01:05.134043+00:00,2022-01-27 07:01:05.134043+00:00,1681731492000,,
31bf664b-66fd-4c33-a3ce-79ca0cfc5493,140793,in.zeta.ruby.policy.StatementPolicy,POLST0000005,1,AB Statement Policy,Statement Policy for Credit Card,ENABLED,,"{""graceDays"":5.0,""templateCode"":""CARD_STATEMENT_TEMPLATE_01A"",""payByHolidayTreatment"":""nextWorkingDay"",""allowedStatementCycles"":[{""dueDate"":16.0,""billingCycle"":""3307085835844696556""}],""dueDaysCalculationMethod"":""FixedDueDate"",""physicalStatementThreshold"":100.0}",2021-04-01 00:00:00+00:00,2023-03-31 00:00:00+00:00,,2022-01-27 09:02:16.723549+00:00,2022-01-27 09:02:16.723549+00:00,1681731492000,,
b891b7fc-053a-48cf-b598-50bae3071338,140793,in.zeta.ruby.policy.StatementPolicy,POLST0000006,1,AB Statement Policy,Statement Policy for Credit Card,ENABLED,,"{""dueDays"":3.0,""graceDays"":5.0,""templateCode"":""CARD_STATEMENT_TEMPLATE_01A"",""payByHolidayTreatment"":""nextWorkingDay"",""allowedStatementCycles"":[{""billingCycle"":""3307085835844696556""}],""dueDaysCalculationMethod"":""DueDays"",""physicalStatementThreshold"":100.0}",2021-04-01 00:00:00+00:00,2023-03-31 00:00:00+00:00,,2022-01-27 09:06:42.534967+00:00,2022-01-27 09:06:42.534967+00:00,1681731492000,,
1defdb7e-dc84-47d8-85d2-d78632fe9cf4,140793,in.zeta.ruby.policy.StatementPolicy,POLST0000006,2,AB Statement Policy,Statement Policy for Credit Card,ENABLED,,"{""dueDays"":21.0,""graceDays"":5.0,""templateCode"":""CARD_STATEMENT_TEMPLATE_01A"",""payByHolidayTreatment"":""nextWorkingDay"",""allowedStatementCycles"":[{""billingCycle"":""CYC00001""}],""dueDaysCalculationMethod"":""DueDays"",""physicalStatementThreshold"":100.0}",2021-04-01 00:00:00+00:00,2023-03-31 00:00:00+00:00,,2022-01-27 09:09:53.065762+00:00,2022-01-27 09:09:53.065762+00:00,1681731492000,,
5b1d1cf9-f4fb-4dba-8f86-ec0e26a10941,172097,in.zeta.policy.charge.EventBasedChargePolicy,CP1TbgW4,1,Joining fee policy,Charge policy for  account joining fee,ENABLED,{},"{""voucherCode"":""TC000q75oT"",""modelParameters"":{""fixedAmount"":{""waiver"":{""amount"":1000,""currency"":""INR""},""baseFee"":{""amount"":10000,""currency"":""INR""},""discount"":{""amount"":8000,""currency"":""INR""}}},""allowedEventNames"":[""ACCOUNT_LEDGER_CREATED"",""ACCOUNT_ANNIVERSARY_CREATED"",""ACCOUNT_MIGuMPJS_CREATED""],""chargeSpecificationURI"":""charge-specification://code/CS1mBXEk/version/1""}",2022-01-27 09:49:14.273000+00:00,2022-01-27 14:49:14.273000+00:00,{},2022-01-27 09:49:15.467446+00:00,2022-01-27 09:49:15.467446+00:00,1681731492000,,
fee2d157-25c6-40fb-ba89-f884448e2515,140793,in.zeta.ruby.policy.InterestPolicy,INTERESTPOLICYSILVERCARD1234,51,Infinia Credit Product,Tiered interest payable computation model for Silver Card Accounts,ENABLED,,"{""interestRules"":[{""rateTable"":""/tenants/172097/rateSpecificationCodes/ECOMINTERESTSILVERCARD?version=1"",""balanceType"":""DAILY_BALANCE"",""description"":""Interest on Retail Unbilled Balance"",""liquidation"":{""model"":""BillUnconditional"",""interestThreshold"":{""amount"":200.0,""currency"":""INR""},""minInterestToBill"":{""amount"":300.0,""currency"":""INR""},""postingCategories"":{""accrualPostingCategory"":""accruedInterestRetailUnbilled"",""billingPostingCategory"":""RetailInterestUnbilled"",""deferredInterestPostingCategory"":""deferredInterestRetailUnbilled""}},""postingCategory"":""RetailUnbilled"",""interestComponent"":""RETAILUNBILLEDINT""}],""payoffVariance"":{""amount"":100.0,""currency"":""INR""},""interestAccrual"":{""cycle"":""7954098136048249021"",""voucherCode"":""INTEREST_ACCURAL_TEST_9999"",""roundingRule"":""NEAR"",""dayCountMethod"":""ACTUAL/ACTUAL""},""debitEffectiveFrom"":""GreaterOfValueDateAndPrevStatementDate"",""creditEffectiveFrom"":""GreaterOfValueDateAndPrevStatementDate"",""interestLiquidation"":{""liquidationVoucherCode"":""INTEREST_LIQUDATION_TEST_58"",""paymentPostingCategory"":""rePayments""}}",2019-01-01 00:00:00+00:00,2030-12-31 00:00:00+00:00,,2022-01-27 10:04:24.808233+00:00,2022-01-27 10:04:24.808233+00:00,1681731492000,,
4d116bea-5033-4c84-adbc-07e5e3340f29,140793,in.zeta.emerald.policy.FeePolicy,INTPOL00212232,1,Insta Loan Fee Policy 2,Tiered Fee computation model for Insta Loams,ENABLED,"{""additionalProp1"":true,""additionalProp2"":true,""additionalProp3"":true}","{""voucherCode"":""SERVICE_FEE"",""modelParameters"":{""tiers"":[{""value"":2.5,""toAmount"":{""amount"":50000,""currency"":""INR""},""valueType"":""PERCENT"",""fromAmount"":{""amount"":50000,""currency"":""INR""}}],""maxAmt"":{""amount"":50000,""currency"":""INR""},""minAmt"":{""amount"":50000,""currency"":""INR""},""computationType"":""FILLER""},""allowedEventNames"":[""string""],""chargeSpecificationURI"":""charge-specification://code/CHSINZZ00003/version/1""}",2022-01-27 00:00:00+00:00,2026-01-27 00:00:00+00:00,,2022-01-27 10:07:50.623703+00:00,2022-01-27 10:07:50.623703+00:00,1681731492000,,
b3c92efa-91e5-4517-b845-05e904bf0c0a,172097,in.zeta.policy.charge.EventBasedChargePolicy,CP1oS7oO,1,Joining fee policy,Charge policy for  account joining fee,ENABLED,{},"{""voucherCode"":""TC000rktM4"",""modelParameters"":{""fixedAmount"":{""waiver"":{""amount"":1000,""currency"":""INR""},""baseFee"":{""amount"":10000,""currency"":""INR""},""discount"":{""amount"":8000,""currency"":""INR""}}},""allowedEventNames"":[""ACCOUNT_LEDGER_CREATED"",""ACCOUNT_ANNIVERSARY_CREATED"",""ACCOUNT_MIG4QyNY_CREATED""],""chargeSpecificationURI"":""charge-specification://code/CS1bwp1n/version/1""}",2022-01-27 14:12:07.424000+00:00,2022-01-27 19:12:07.424000+00:00,{},2022-01-27 14:12:08.814742+00:00,2022-01-27 14:12:08.814742+00:00,1681731492000,,
