id,ifi_id,coa_id,year_start_date,week_start_offset,timezone,created_at,name,code,updated_at,description,status,attributes,_load_ts_ms,cdc_source_ts_ms,cdc_op
3945303092666725431,140793,,01-01,1,Asia/Kolkata,2023-04-05 12:24:55.801598+00:00,CAL_COA_TEST_GM_701,CAL_COA_TEST_GM_701,2023-04-05 12:24:55.801000,,ENABLED,,1687936082000,1687769267994,
4199102871259222691,140793,,01-01,1,Asia/Kolkata,2022-08-18 10:36:22.642605+00:00,HDFC beta zone calendar,HDFCBZCAL01_11,2022-08-18 10:36:22.642000,,ENABLED,,1687936082000,1687769267995,
758182417509032721,140793,,01-01,1,Asia/Kolkata,2023-01-10 07:22:14.317124+00:00,Block Code COA2,BlockCodeCOA2,2023-01-10 07:22:14.317000,,ENABLED,,1687936082000,1687769267992,
3268689688417108647,140793,,01-01,1,Asia/Kolkata,2023-04-05 11:39:36.189201+00:00,CAL_COA_TEST_GM_601,CAL_COA_TEST_GM_601,2023-04-05 11:39:36.189000,,ENABLED,,1687936082000,1687769267994,
4538061086482575544,140793,,01-01,1,Asia/Kolkata,2023-01-10 07:22:18.675177+00:00,Block Code COA1,BlockCodeCOA1,2023-01-10 07:22:18.675000,,ENABLED,,1687936082000,1687769267995,
4859574584421702256,600309,,01-01,1,America/Los_Angeles,2023-09-14 17:50:25.618445+00:00,default_calendar,CALUS003003,2023-09-14 17:50:25.618000,Sparrow Calendar CALUS003003,ENABLED,"""null""",1695199057000,1694713825625,
3419895368155280214,600309,,01-01,1,America/Los_Angeles,2023-09-15 08:01:38.291624+00:00,default_calendar,CALUS003004,2023-09-15 08:01:38.291000,Sparrow Calendar CALUS003004,ENABLED,"""null""",1695199057000,1694764898299,
